Order_ID,Order_Date,Customer_ID,Gender,Age,Customer_Segment,Membership_Type,State,City,Region,Product_Name,Brand,Quantity,Unit_Price,Unit_Cost,Discount_Percentage,Revenue,Cost,Profit,Profit_Margin,Payment_Method,Order_Status
ORD100013,2024-06-11,CUST7164,Male,58,Small Business,Gold,Andhra Pradesh,Vijayawada,South,Washing Machine,LG,3,83443,54727,5,237812.55,164181,73631.55,30.96,Net Banking,Delivered
ORD100014,2021-06-25,CUST3361,Male,65,Small Business,Platinum,Andhra Pradesh,Vijayawada,South,Soundbar,JBL,4,64078,48730,10,230680.8,194920,35760.8,15.5,Debit Card,Delivered
ORD100015,2023-01-11,CUST3401,Male,51,Small Business,Platinum,Karnataka,Bengaluru,South,Microwave,Panasonic,5,6027,4202,20,24108,21010,3098,12.85,UPI,Delivered
ORD100016,2024-01-15,CUST9236,Female,58,Corporate,Platinum,Gujarat,Ahmedabad,West,Smart Watch,Samsung,2,49621,41063,20,79393.6,82126,-2732.4,-3.44,Credit Card,Delivered
ORD100017,2025-02-06,CUST1474,Male,35,Premium,Gold,Delhi,New Delhi,North,Printer,HP,2,29203,22458,10,52565.4,44916,7649.4,14.55,Credit Card,Delivered
ORD100018,2022-04-10,CUST8701,Male,39,Corporate,Gold,West Bengal,Kolkata,East,Laptop,Lenovo,3,50793,33956,0,152379,101868,50511,33.15,Net Banking,Cancelled
ORD100019,2025-09-06,CUST2964,Female,63,Corporate,Gold,Telangana,Hyderabad,South,Air Conditioner,Voltas,4,88587,64590,0,354348,258360,95988,27.09,Credit Card,Delivered
ORD100020,2025-01-24,CUST3602,Male,26,Retail,Silver,Gujarat,Ahmedabad,West,Water Purifier,Kent,1,54883,41520,0,54883,41520,13363,24.35,Net Banking,Delivered
ORD100021,2021-11-16,CUST9989,Male,19,Retail,Platinum,Karnataka,Bengaluru,South,Monitor,Dell,5,81101,71001,10,364954.5,355005,9949.5,2.73,UPI,Delivered
ORD100022,2021-02-27,CUST5126,Male,36,Corporate,Platinum,Karnataka,Bengaluru,South,Vacuum Cleaner,Dyson,4,28533,23968,5,108425.4,95872,12553.4,11.58,Debit Card,Delivered
ORD100023,2025-07-28,CUST9466,Female,50,Corporate,Platinum,Karnataka,Bengaluru,South,Tablet,Samsung,1,49371,42284,20,39496.8,42284,-2787.2,-7.06,Credit Card,Delivered
ORD100024,2021-12-19,CUST3319,Female,57,Retail,Platinum,West Bengal,Kolkata,East,Smart TV,Samsung,2,82764,53871,5,157251.6,107742,49509.6,31.48,UPI,Delivered
ORD100025,2022-07-22,CUST1691,Male,50,Premium,Platinum,West Bengal,Kolkata,East,Refrigerator,Whirlpool,1,76439,50684,5,72617.05,50684,21933.05,30.2,UPI,Delivered
ORD100026,2024-05-26,CUST9391,Male,62,Small Business,Gold,Andhra Pradesh,Vijayawada,South,Vacuum Cleaner,Dyson,4,45678,36125,20,146169.6,144500,1669.6,1.14,Net Banking,Delivered
ORD100027,2025-09-17,CUST8332,Male,44,Retail,Gold,Tamil Nadu,Chennai,South,Refrigerator,LG,5,37025,31924,5,175868.75,159620,16248.75,9.24,EMI,Delivered
ORD100028,2025-05-25,CUST3004,Male,63,Small Business,Silver,Tamil Nadu,Chennai,South,Air Fryer,Philips,4,12584,8795,10,45302.4,35180,10122.4,22.34,Debit Card,Delivered
ORD100029,2024-09-29,CUST4665,Male,63,Premium,Platinum,Tamil Nadu,Chennai,South,iPad,Apple,1,55200,47115,5,52440,47115,5325,10.15,EMI,Delivered
ORD100030,2022-11-24,CUST8514,Female,63,Retail,Gold,Gujarat,Ahmedabad,West,OnePlus Phone,OnePlus,3,15084,12309,0,45252,36927,8325,18.4,Debit Card,Delivered
ORD100031,2021-06-22,CUST5351,Female,20,Corporate,Gold,Andhra Pradesh,Vijayawada,South,Laptop,Dell,1,32957,28787,0,32957,28787,4170,12.65,Credit Card,Delivered
ORD100032,2024-03-14,CUST9103,Female,23,Small Business,Silver,Maharashtra,Mumbai,West,Earbuds,Apple,4,22577,17461,20,72246.4,69844,2402.4,3.33,Credit Card,Delivered
ORD100033,2021-06-21,CUST4643,Male,34,Retail,Gold,Maharashtra,Mumbai,West,OLED TV,Sony,1,86157,57757,10,77541.3,57757,19784.3,25.51,UPI,Delivered
ORD100034,2024-12-24,CUST4906,Male,28,Small Business,Silver,Delhi,New Delhi,North,Washing Machine,LG,3,84487,57427,20,202768.8,172281,30487.8,15.04,Credit Card,Delivered
ORD100035,2024-10-08,CUST3914,Female,40,Retail,Gold,Maharashtra,Mumbai,West,Laptop,Dell,5,29983,21488,20,119932,107440,12492,10.42,UPI,Delivered
ORD100036,2021-08-06,CUST8080,Female,52,Premium,Platinum,Tamil Nadu,Chennai,South,Bluetooth Speaker,JBL,5,65227,46083,15,277214.75,230415,46799.75,16.88,Debit Card,Delivered
ORD100037,2021-04-22,CUST3126,Male,22,Small Business,Gold,Gujarat,Ahmedabad,West,Smart Watch,Apple,2,86358,58907,10,155444.4,117814,37630.4,24.21,Credit Card,Delivered
ORD100038,2021-04-03,CUST8527,Male,28,Small Business,Gold,Delhi,New Delhi,North,Air Fryer,Philips,5,39953,31471,10,179788.5,157355,22433.5,12.48,UPI,Delivered
ORD100039,2022-03-23,CUST6842,Male,18,Small Business,Gold,Gujarat,Ahmedabad,West,Laptop,HP,2,7515,6553,10,13527,13106,421,3.11,UPI,Delivered
ORD100040,2022-06-26,CUST2470,Male,43,Retail,Gold,Tamil Nadu,Chennai,South,Refrigerator,Whirlpool,2,69156,57298,0,138312,114596,23716,17.15,UPI,Delivered
ORD100041,2024-09-08,CUST7381,Female,64,Premium,Silver,Tamil Nadu,Chennai,South,Water Purifier,Kent,1,79753,69405,5,75765.35,69405,6360.35,8.39,Debit Card,Delivered
ORD100042,2021-10-13,CUST9581,Male,61,Corporate,Silver,Karnataka,Bengaluru,South,Water Purifier,Kent,1,70237,55788,20,56189.6,55788,401.6,0.71,UPI,Delivered
ORD100043,2021-04-14,CUST1308,Male,49,Small Business,Silver,Gujarat,Ahmedabad,West,Water Purifier,Kent,1,52364,44102,20,41891.2,44102,-2210.8,-5.28,EMI,Delivered
ORD100044,2022-06-01,CUST2219,Female,33,Corporate,Silver,Andhra Pradesh,Vijayawada,South,Bluetooth Speaker,JBL,5,11657,9576,15,49542.25,47880,1662.25,3.36,EMI,Delivered
ORD100045,2024-07-19,CUST4248,Male,56,Corporate,Gold,Andhra Pradesh,Vijayawada,South,MacBook,Apple,4,40659,33600,20,130108.8,134400,-4291.2,-3.3,Debit Card,Delivered
ORD100046,2021-05-05,CUST8959,Female,61,Retail,Platinum,Maharashtra,Mumbai,West,Microwave,Panasonic,5,77417,52697,15,329022.25,263485,65537.25,19.92,Credit Card,Delivered
ORD100047,2024-01-30,CUST4264,Female,23,Premium,Silver,Maharashtra,Mumbai,West,Laptop,Dell,4,64066,48514,0,256264,194056,62208,24.27,Debit Card,Delivered
ORD100048,2021-06-02,CUST2479,Male,65,Small Business,Gold,West Bengal,Kolkata,East,Printer,HP,3,53704,37499,5,153056.4,112497,40559.4,26.5,Credit Card,Delivered
ORD100049,2023-03-19,CUST1406,Male,18,Premium,Platinum,Maharashtra,Mumbai,West,Water Purifier,Kent,1,50865,35769,15,43235.25,35769,7466.25,17.27,EMI,Delivered
ORD100050,2025-09-17,CUST6428,Male,38,Small Business,Gold,Karnataka,Bengaluru,South,Bluetooth Speaker,JBL,4,48083,35413,0,192332,141652,50680,26.35,UPI,Returned
ORD100051,2023-03-11,CUST2251,Female,45,Small Business,Silver,Telangana,Hyderabad,South,OnePlus Phone,OnePlus,3,36189,26621,15,92281.95,79863,12418.95,13.46,Debit Card,Delivered
ORD100052,2023-11-13,CUST6170,Male,41,Premium,Silver,Maharashtra,Mumbai,West,Printer,HP,2,35679,31159,15,60654.3,62318,-1663.7,-2.74,EMI,Delivered
ORD100053,2023-07-13,CUST3270,Female,49,Retail,Platinum,Tamil Nadu,Chennai,South,Washing Machine,LG,1,9484,8200,15,8061.4,8200,-138.6,-1.72,Credit Card,Delivered
ORD100054,2023-04-12,CUST4910,Female,48,Premium,Silver,Gujarat,Ahmedabad,West,Tablet,Samsung,3,42029,29791,10,113478.3,89373,24105.3,21.24,Credit Card,Delivered
ORD100055,2022-11-13,CUST8372,Female,26,Corporate,Silver,Tamil Nadu,Chennai,South,OLED TV,Sony,5,68152,52926,15,289646,264630,25016,8.64,UPI,Delivered
ORD100056,2022-02-18,CUST1329,Female,42,Premium,Platinum,Andhra Pradesh,Vijayawada,South,Washing Machine,LG,3,34342,25231,20,82420.8,75693,6727.8,8.16,Net Banking,Delivered
ORD100057,2021-09-15,CUST9247,Male,23,Small Business,Silver,Gujarat,Ahmedabad,West,Smart Watch,Samsung,1,68292,48748,10,61462.8,48748,12714.8,20.69,EMI,Delivered
ORD100058,2024-12-24,CUST8754,Female,18,Retail,Gold,Delhi,New Delhi,North,iPad,Apple,3,5858,3979,15,14937.9,11937,3000.9,20.09,Net Banking,Delivered
ORD100059,2024-10-28,CUST2784,Female,23,Retail,Silver,Tamil Nadu,Chennai,South,iPad,Apple,1,32333,22164,20,25866.4,22164,3702.4,14.31,Credit Card,Delivered
ORD100060,2024-07-27,CUST8166,Male,24,Retail,Gold,Telangana,Hyderabad,South,Vacuum Cleaner,Dyson,3,19772,15700,20,47452.8,47100,352.8,0.74,Net Banking,Returned
ORD100061,2021-01-22,CUST9806,Female,47,Small Business,Gold,Delhi,New Delhi,North,OnePlus Phone,OnePlus,3,32305,26871,0,96915,80613,16302,16.82,Credit Card,Delivered
ORD100062,2021-04-24,CUST1356,Male,49,Premium,Silver,Tamil Nadu,Chennai,South,Smart Watch,Apple,1,56976,46268,10,51278.4,46268,5010.4,9.77,Debit Card,Delivered
ORD100063,2025-01-11,CUST7890,Female,61,Premium,Silver,Gujarat,Ahmedabad,West,Tablet,Samsung,2,67611,44477,10,121699.8,88954,32745.8,26.91,UPI,Delivered
ORD100064,2025-04-18,CUST4177,Male,47,Corporate,Gold,Andhra Pradesh,Vijayawada,South,Bluetooth Speaker,JBL,2,67971,59343,10,122347.8,118686,3661.8,2.99,Debit Card,Delivered
ORD100065,2023-05-05,CUST1924,Male,43,Retail,Silver,West Bengal,Kolkata,East,Air Conditioner,Voltas,5,27551,23588,15,117091.75,117940,-848.25,-0.72,UPI,Cancelled
ORD100066,2024-12-29,CUST6147,Male,23,Corporate,Gold,Delhi,New Delhi,North,iPhone,Apple,1,10882,7534,15,9249.7,7534,1715.7,18.55,Credit Card,Delivered
ORD100067,2025-09-15,CUST7125,Female,46,Corporate,Silver,West Bengal,Kolkata,East,Vacuum Cleaner,Dyson,1,43871,35220,15,37290.35,35220,2070.35,5.55,UPI,Delivered
ORD100068,2023-02-18,CUST6843,Female,45,Retail,Silver,Gujarat,Ahmedabad,West,OLED TV,Sony,4,19214,14968,5,73013.2,59872,13141.2,18,EMI,Delivered
ORD100069,2021-03-04,CUST7730,Male,58,Premium,Silver,West Bengal,Kolkata,East,Washing Machine,LG,2,45376,33295,15,77139.2,66590,10549.2,13.68,EMI,Delivered
ORD100070,2022-11-26,CUST6946,Female,39,Retail,Gold,Telangana,Hyderabad,South,OLED TV,Sony,3,28551,23465,20,68522.4,70395,-1872.6,-2.73,Debit Card,Returned
ORD100071,2021-02-19,CUST4831,Male,48,Premium,Gold,Telangana,Hyderabad,South,Laptop,Dell,5,86097,74705,0,430485,373525,56960,13.23,Debit Card,Delivered
ORD100072,2025-08-13,CUST3479,Male,38,Small Business,Gold,West Bengal,Kolkata,East,Printer,HP,2,68082,47117,10,122547.6,94234,28313.6,23.1,Debit Card,Delivered
ORD100073,2022-05-22,CUST7680,Male,59,Retail,Gold,Andhra Pradesh,Vijayawada,South,Air Conditioner,Voltas,5,28862,21360,5,137094.5,106800,30294.5,22.1,Net Banking,Delivered
ORD100074,2022-03-03,CUST2579,Female,49,Premium,Silver,Delhi,New Delhi,North,Galaxy Phone,Samsung,1,12458,8856,0,12458,8856,3602,28.91,Credit Card,Delivered
ORD100075,2022-08-25,CUST5577,Female,41,Small Business,Platinum,Tamil Nadu,Chennai,South,iPad,Apple,5,18881,15658,10,84964.5,78290,6674.5,7.86,Debit Card,Delivered
ORD100076,2022-01-21,CUST6346,Male,43,Small Business,Silver,Karnataka,Bengaluru,South,Smart Watch,Apple,2,33867,23207,20,54187.2,46414,7773.2,14.35,Net Banking,Delivered
ORD100077,2025-12-14,CUST4786,Female,41,Retail,Gold,Andhra Pradesh,Vijayawada,South,Water Purifier,Kent,4,7852,5288,15,26696.8,21152,5544.8,20.77,Credit Card,Delivered
ORD100078,2023-07-09,CUST5258,Male,24,Small Business,Silver,Tamil Nadu,Chennai,South,OnePlus Phone,OnePlus,1,51789,39769,5,49199.55,39769,9430.55,19.17,UPI,Delivered
ORD100079,2025-07-27,CUST1186,Female,44,Small Business,Silver,Telangana,Hyderabad,South,iPhone,Apple,2,36412,23988,5,69182.8,47976,21206.8,30.65,Net Banking,Delivered
ORD100080,2021-07-27,CUST7476,Male,58,Retail,Platinum,Telangana,Hyderabad,South,OnePlus Phone,OnePlus,4,74833,56963,15,254432.2,227852,26580.2,10.45,Credit Card,Delivered
ORD100081,2022-10-02,CUST6852,Female,44,Retail,Gold,Delhi,New Delhi,North,Smart Watch,Samsung,3,43317,32319,0,129951,96957,32994,25.39,Credit Card,Delivered
ORD100082,2021-08-21,CUST2482,Female,54,Small Business,Gold,Tamil Nadu,Chennai,South,MacBook,Apple,1,59906,51361,15,50920.1,51361,-440.9,-0.87,Credit Card,Delivered
ORD100083,2025-02-18,CUST9265,Male,27,Small Business,Gold,Karnataka,Bengaluru,South,Smart TV,LG,4,14669,11467,10,52808.4,45868,6940.4,13.14,Credit Card,Delivered
ORD100084,2022-09-10,CUST3075,Male,48,Small Business,Silver,Andhra Pradesh,Vijayawada,South,Vacuum Cleaner,Dyson,1,53296,40655,5,50631.2,40655,9976.2,19.7,Net Banking,Returned
ORD100085,2024-06-25,CUST7627,Male,48,Corporate,Platinum,Andhra Pradesh,Vijayawada,South,MacBook,Apple,5,24007,19140,5,114033.25,95700,18333.25,16.08,Credit Card,Delivered
ORD100086,2025-01-24,CUST4155,Male,53,Retail,Platinum,Karnataka,Bengaluru,South,Refrigerator,Whirlpool,4,50082,33970,5,190311.6,135880,54431.6,28.6,Debit Card,Delivered
ORD100087,2022-09-24,CUST5083,Female,42,Small Business,Gold,West Bengal,Kolkata,East,Air Conditioner,Voltas,5,85187,70616,15,362044.75,353080,8964.75,2.48,Net Banking,Delivered
ORD100088,2025-04-13,CUST8508,Male,48,Premium,Silver,Telangana,Hyderabad,South,Smart TV,Samsung,5,67159,50840,15,285425.75,254200,31225.75,10.94,UPI,Delivered
ORD100089,2021-03-25,CUST3134,Male,64,Small Business,Platinum,Gujarat,Ahmedabad,West,Tablet,Samsung,1,60929,46671,0,60929,46671,14258,23.4,Net Banking,Delivered
ORD100090,2025-02-08,CUST2795,Male,26,Premium,Gold,Delhi,New Delhi,North,Gaming Console,Sony,2,6389,5412,20,10222.4,10824,-601.6,-5.89,Credit Card,Delivered
ORD100091,2021-11-22,CUST6305,Female,47,Corporate,Gold,Tamil Nadu,Chennai,South,Bluetooth Speaker,JBL,1,48992,38723,10,44092.8,38723,5369.8,12.18,Net Banking,Returned
ORD100092,2022-10-16,CUST7099,Male,30,Corporate,Gold,Tamil Nadu,Chennai,South,Refrigerator,LG,5,37454,29650,5,177906.5,148250,29656.5,16.67,Credit Card,Delivered
ORD100093,2021-08-24,CUST9695,Male,58,Small Business,Gold,Gujarat,Ahmedabad,West,Smart Watch,Samsung,4,25117,20902,10,90421.2,83608,6813.2,7.53,Net Banking,Delivered
ORD100094,2025-02-20,CUST7086,Female,42,Small Business,Platinum,Andhra Pradesh,Vijayawada,South,Microwave,Panasonic,3,73215,58194,15,186698.25,174582,12116.25,6.49,Credit Card,Delivered
ORD100095,2022-08-30,CUST9455,Female,37,Small Business,Platinum,Andhra Pradesh,Vijayawada,South,Gaming Console,Sony,4,33152,22896,0,132608,91584,41024,30.94,UPI,Delivered
ORD100096,2023-11-16,CUST6965,Male,26,Premium,Silver,Karnataka,Bengaluru,South,Smart Watch,Apple,3,83747,66486,15,213554.85,199458,14096.85,6.6,Net Banking,Delivered
ORD100097,2023-12-08,CUST6851,Male,44,Small Business,Platinum,Telangana,Hyderabad,South,Smart TV,Samsung,1,77333,56580,0,77333,56580,20753,26.84,Credit Card,Delivered
ORD100098,2024-12-19,CUST3446,Female,24,Retail,Platinum,West Bengal,Kolkata,East,Air Conditioner,Voltas,2,20661,13496,5,39255.9,26992,12263.9,31.24,Credit Card,Delivered
ORD100099,2024-08-13,CUST6739,Female,56,Premium,Silver,Maharashtra,Mumbai,West,Monitor,Dell,4,37634,32833,0,150536,131332,19204,12.76,Credit Card,Delivered
ORD100100,2021-11-23,CUST1956,Male,18,Corporate,Silver,Telangana,Hyderabad,South,Smart TV,LG,5,6306,4687,5,29953.5,23435,6518.5,21.76,EMI,Delivered
ORD100101,2022-09-07,CUST1794,Female,63,Retail,Gold,Delhi,New Delhi,North,Air Conditioner,Voltas,5,25890,19856,0,129450,99280,30170,23.31,EMI,Delivered
ORD100102,2022-06-20,CUST4805,Male,25,Small Business,Platinum,Andhra Pradesh,Vijayawada,South,iPad,Apple,4,25988,18242,0,103952,72968,30984,29.81,Debit Card,Delivered
ORD100103,2021-06-24,CUST9313,Male,28,Small Business,Silver,Delhi,New Delhi,North,Smart Watch,Samsung,5,37772,27119,5,179417,135595,43822,24.42,Credit Card,Returned
ORD100104,2023-02-17,CUST9787,Female,48,Retail,Silver,Gujarat,Ahmedabad,West,Bluetooth Speaker,JBL,2,53948,39142,5,102501.2,78284,24217.2,23.63,EMI,Returned
ORD100105,2024-03-03,CUST3810,Male,20,Retail,Silver,Maharashtra,Mumbai,West,Smart Watch,Apple,2,54322,43088,0,108644,86176,22468,20.68,UPI,Delivered
ORD100106,2024-11-19,CUST1698,Male,65,Retail,Silver,Gujarat,Ahmedabad,West,Galaxy Phone,Samsung,2,6766,4445,5,12855.4,8890,3965.4,30.85,Net Banking,Delivered
ORD100107,2021-08-18,CUST1554,Male,58,Retail,Platinum,Andhra Pradesh,Vijayawada,South,OnePlus Phone,OnePlus,4,17039,12041,5,64748.2,48164,16584.2,25.61,Debit Card,Delivered
ORD100108,2022-06-19,CUST1342,Female,34,Small Business,Silver,Andhra Pradesh,Vijayawada,South,iPhone,Apple,2,41595,30089,15,70711.5,60178,10533.5,14.9,Debit Card,Delivered
ORD100109,2021-03-05,CUST8150,Male,40,Premium,Platinum,West Bengal,Kolkata,East,Gaming Console,Sony,3,84038,69037,15,214296.9,207111,7185.9,3.35,UPI,Delivered
ORD100110,2023-12-09,CUST4310,Female,21,Retail,Gold,Andhra Pradesh,Vijayawada,South,OnePlus Phone,OnePlus,5,40632,28002,0,203160,140010,63150,31.08,EMI,Delivered
ORD100111,2022-06-18,CUST3603,Female,31,Corporate,Gold,Karnataka,Bengaluru,South,Microwave,Panasonic,4,80667,58875,20,258134.4,235500,22634.4,8.77,Credit Card,Delivered
ORD100112,2022-12-30,CUST2558,Female,43,Retail,Gold,Andhra Pradesh,Vijayawada,South,Water Purifier,Kent,4,76564,63624,10,275630.4,254496,21134.4,7.67,UPI,Delivered
ORD100113,2025-12-16,CUST4826,Female,26,Retail,Gold,Maharashtra,Mumbai,West,Laptop,Dell,4,74425,56955,15,253045,227820,25225,9.97,Net Banking,Delivered
ORD100114,2024-11-12,CUST5214,Male,26,Small Business,Gold,West Bengal,Kolkata,East,iPhone,Apple,5,45380,31266,15,192865,156330,36535,18.94,Credit Card,Delivered
ORD100115,2025-01-21,CUST6350,Female,28,Corporate,Gold,Maharashtra,Mumbai,West,Smart Watch,Samsung,5,23262,18990,5,110494.5,94950,15544.5,14.07,Credit Card,Delivered
ORD100116,2021-11-06,CUST3430,Female,64,Small Business,Gold,Andhra Pradesh,Vijayawada,South,Bluetooth Speaker,JBL,2,89232,60086,15,151694.4,120172,31522.4,20.78,Debit Card,Delivered
ORD100117,2021-03-11,CUST1206,Female,45,Corporate,Platinum,Andhra Pradesh,Vijayawada,South,Water Purifier,Kent,3,30059,25658,15,76650.45,76974,-323.55,-0.42,Debit Card,Delivered
ORD100118,2025-10-13,CUST8045,Female,32,Corporate,Platinum,Maharashtra,Mumbai,West,iPhone,Apple,5,56046,36501,5,266218.5,182505,83713.5,31.45,Credit Card,Delivered
ORD100119,2023-05-10,CUST4971,Female,63,Corporate,Gold,Delhi,New Delhi,North,iPad,Apple,3,37053,29438,0,111159,88314,22845,20.55,EMI,Delivered
ORD100120,2024-09-02,CUST6374,Male,42,Premium,Silver,Delhi,New Delhi,North,Smart TV,Samsung,5,89652,77454,5,425847,387270,38577,9.06,UPI,Delivered
ORD100121,2023-07-25,CUST9864,Male,63,Premium,Platinum,Karnataka,Bengaluru,South,OnePlus Phone,OnePlus,2,71055,51876,20,113688,103752,9936,8.74,UPI,Delivered
ORD100122,2022-03-07,CUST4011,Female,50,Retail,Platinum,Gujarat,Ahmedabad,West,Printer,HP,5,47938,35684,15,203736.5,178420,25316.5,12.43,Net Banking,Delivered
ORD100123,2021-06-03,CUST7858,Female,58,Small Business,Platinum,Maharashtra,Mumbai,West,Smart TV,LG,3,53048,39357,0,159144,118071,41073,25.81,Debit Card,Delivered
ORD100124,2023-08-05,CUST4473,Male,26,Retail,Platinum,Delhi,New Delhi,North,Laptop,Dell,5,31693,27847,15,134695.25,139235,-4539.75,-3.37,Credit Card,Delivered
ORD100125,2023-08-17,CUST5822,Male,48,Small Business,Silver,Tamil Nadu,Chennai,South,Washing Machine,LG,2,49285,39585,15,83784.5,79170,4614.5,5.51,Debit Card,Delivered
ORD100126,2023-01-04,CUST5013,Female,38,Premium,Gold,Maharashtra,Mumbai,West,Air Fryer,Philips,4,27364,20817,10,98510.4,83268,15242.4,15.47,EMI,Delivered
ORD100127,2021-06-24,CUST6319,Male,51,Small Business,Platinum,Gujarat,Ahmedabad,West,OLED TV,Sony,2,42736,36176,0,85472,72352,13120,15.35,Net Banking,Delivered
ORD100128,2021-07-27,CUST3338,Male,29,Premium,Gold,Tamil Nadu,Chennai,South,Smart TV,Samsung,1,88977,63831,20,71181.6,63831,7350.6,10.33,Credit Card,Delivered
ORD100129,2024-10-01,CUST9986,Female,30,Premium,Platinum,Karnataka,Bengaluru,South,MacBook,Apple,5,82739,72375,0,413695,361875,51820,12.53,Credit Card,Delivered
ORD100130,2022-04-25,CUST3282,Female,49,Retail,Gold,West Bengal,Kolkata,East,Bluetooth Speaker,JBL,1,75753,51302,15,64390.05,51302,13088.05,20.33,EMI,Delivered
ORD100131,2025-11-03,CUST1108,Male,38,Premium,Platinum,West Bengal,Kolkata,East,Microwave,Panasonic,2,68296,46978,20,109273.6,93956,15317.6,14.02,Net Banking,Delivered
ORD100132,2022-01-05,CUST6904,Male,19,Retail,Platinum,West Bengal,Kolkata,East,Laptop,Dell,3,58812,43893,0,176436,131679,44757,25.37,Debit Card,Delivered
ORD100133,2024-07-04,CUST3079,Female,24,Small Business,Gold,West Bengal,Kolkata,East,Soundbar,JBL,4,21938,14430,15,74589.2,57720,16869.2,22.62,EMI,Delivered
ORD100134,2024-02-09,CUST1863,Female,36,Small Business,Gold,Tamil Nadu,Chennai,South,Washing Machine,LG,3,60041,43748,10,162110.7,131244,30866.7,19.04,EMI,Delivered
ORD100135,2022-11-09,CUST4150,Female,63,Small Business,Silver,Gujarat,Ahmedabad,West,Smart Watch,Samsung,2,88794,67767,0,177588,135534,42054,23.68,Net Banking,Cancelled
ORD100136,2024-03-21,CUST1814,Female,37,Retail,Silver,Telangana,Hyderabad,South,OLED TV,Sony,4,75652,64583,20,242086.4,258332,-16245.6,-6.71,UPI,Delivered
ORD100137,2024-01-19,CUST7161,Male,58,Retail,Silver,West Bengal,Kolkata,East,Vacuum Cleaner,Dyson,5,89247,59245,20,356988,296225,60763,17.02,UPI,Delivered
ORD100138,2023-05-14,CUST2648,Male,41,Corporate,Gold,Karnataka,Bengaluru,South,iPad,Apple,1,89981,62239,0,89981,62239,27742,30.83,Net Banking,Delivered
ORD100139,2023-06-02,CUST1894,Female,54,Retail,Silver,Maharashtra,Mumbai,West,Earbuds,Apple,2,58284,38343,0,116568,76686,39882,34.21,EMI,Delivered
ORD100140,2024-05-01,CUST3544,Female,44,Retail,Silver,Delhi,New Delhi,North,Vacuum Cleaner,Dyson,4,11810,7714,15,40154,30856,9298,23.16,EMI,Delivered
ORD100141,2025-10-25,CUST2444,Male,25,Corporate,Gold,Telangana,Hyderabad,South,iPhone,Apple,4,3626,2364,0,14504,9456,5048,34.8,UPI,Delivered
ORD100142,2025-05-05,CUST3372,Male,36,Premium,Gold,Tamil Nadu,Chennai,South,Air Conditioner,Daikin,4,27564,23766,10,99230.4,95064,4166.4,4.2,Debit Card,Delivered
ORD100143,2021-06-13,CUST7372,Female,37,Corporate,Gold,Telangana,Hyderabad,South,Smart TV,LG,1,10936,7145,20,8748.8,7145,1603.8,18.33,Net Banking,Delivered
ORD100144,2023-01-14,CUST3687,Female,48,Premium,Gold,West Bengal,Kolkata,East,Laptop,Lenovo,4,24819,16959,0,99276,67836,31440,31.67,Debit Card,Delivered
